Customer_ID,Age_Group,Gender,City_Tier,Income_Level,Connection_Type,Booking_Method,Booking_Frequency,Delivery_Days,Complaint,Overall_Satisfaction
72,26-35,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,0,5
73,18-25,Female,Tier 3,<20k,Domestic,Agent,Monthly,5,1,2
74,26-35,Prefer not to say,Tier 2,1L+,Domestic,Mobile App,Monthly,3,0,3
75,18-25,Prefer not to say,Tier 2,<20k,Commercial,Mobile App,Monthly,3,0,4
76,26-35,Female,Tier 2,1L+,Domestic,Call,2-3 months,2,1,4
77,50+,Female,Tier 1,20k-50k,Domestic,Website,Monthly,2,0,4
78,50+,Female,Tier 2,1L+,Domestic,Mobile App,3-6 months,2,0,3
79,36-50,Prefer not to say,Tier 1,<20k,Domestic,Agent,3-6 months,3,1,4
80,50+,Prefer not to say,Tier 3,20k-50k,Domestic,Mobile App,Monthly,2,0,4
81,36-50,Male,Tier 2,<20k,Domestic,Call,2-3 months,3,1,3
82,50+,Male,Tier 2,<20k,Domestic,Mobile App,3-6 months,3,0,3
83,18-25,Female,Tier 2,20k-50k,Domestic,Agent,3-6 months,6,1,1
84,50+,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,0,5
85,36-50,Prefer not to say,Tier 3,20k-50k,Domestic,Agent,3-6 months,3,1,4
86,36-50,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,2,0,4
87,26-35,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,0,5
88,18-25,Male,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,3,0,3
89,50+,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,0,5
90,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,2,0,5
91,50+,Male,Tier 3,20k-50k,Domestic,Mobile App,3-6 months,1,0,5
92,50+,Female,Tier 2,50k-1L,Commercial,Agent,3-6 months,3,1,4
93,26-35,Male,Tier 3,20k-50k,Commercial,Call,Monthly,5,1,1
94,26-35,Male,Tier 2,50k-1L,Domestic,Mobile App,Monthly,2,0,5
95,26-35,Prefer not to say,Tier 2,1L+,Domestic,Agent,Monthly,4,1,3
96,26-35,Male,Tier 1,50k-1L,Domestic,Mobile App,Monthly,3,0,4
97,26-35,Female,Tier 1,20k-50k,Domestic,Call,2-3 months,3,1,4
98,50+,Female,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,1,0,4
99,26-35,Male,Tier 2,50k-1L,Domestic,Call,3-6 months,5,1,1
100,18-25,Prefer not to say,Tier 3,20k-50k,Commercial,Mobile App,3-6 months,2,0,3
101,36-50,Prefer not to say,Tier 2,<20k,Domestic,Website,3-6 months,5,1,2
102,26-35,Male,Tier 1,<20k,Domestic,Mobile App,2-3 months,1,0,5
103,26-35,Male,Tier 2,50k-1L,Domestic,Mobile App,3-6 months,1,0,5
104,50+,Female,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,1,0,5
105,26-35,Male,Tier 1,50k-1L,Domestic,Agent,2-3 months,5,1,1
106,26-35,Prefer not to say,Tier 3,20k-50k,Domestic,Call,3-6 months,4,1,2
107,26-35,Male,Tier 2,20k-50k,Domestic,Agent,2-3 months,6,1,1
108,50+,Female,Tier 1,<20k,Domestic,Website,2-3 months,6,1,1
109,26-35,Female,Tier 2,<20k,Domestic,Website,Monthly,3,0,2
110,36-50,Female,Tier 3,1L+,Domestic,Agent,Monthly,2,1,4
111,50+,Female,Tier 1,50k-1L,Domestic,Mobile App,2-3 months,1,0,5
112,36-50,Female,Tier 3,50k-1L,Domestic,Agent,2-3 months,6,1,1
113,50+,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,0,4
114,26-35,Male,Tier 2,50k-1L,Commercial,Agent,3-6 months,6,1,1
115,36-50,Male,Tier 2,20k-50k,Domestic,Call,3-6 months,5,1,1
116,50+,Male,Tier 2,20k-50k,Commercial,Agent,3-6 months,3,1,3
117,18-25,Female,Tier 2,<20k,Commercial,Call,2-3 months,3,1,2
118,26-35,Prefer not to say,Tier 2,20k-50k,Domestic,Call,Monthly,5,1,2
119,50+,Male,Tier 2,50k-1L,Domestic,Website,3-6 months,6,1,1
120,18-25,Prefer not to say,Tier 2,1L+,Commercial,Mobile App,Monthly,3,0,4
121,50+,Male,Tier 1,<20k,Domestic,Mobile App,Monthly,3,0,3
122,18-25,Male,Tier 3,50k-1L,Domestic,Call,2-3 months,3,1,3
123,26-35,Prefer not to say,Tier 2,20k-50k,Commercial,Website,3-6 months,2,0,5
124,36-50,Female,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,0,4
125,18-25,Male,Tier 1,<20k,Domestic,Mobile App,2-3 months,1,0,4
126,50+,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,3,0,4
127,26-35,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,2,0,3
128,18-25,Prefer not to say,Tier 2,20k-50k,Domestic,Website,3-6 months,2,0,4
129,50+,Female,Tier 2,50k-1L,Domestic,Agent,3-6 months,2,1,4
130,50+,Prefer not to say,Tier 1,50k-1L,Domestic,Call,2-3 months,6,1,1
131,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Call,3-6 months,3,1,2
132,18-25,Female,Tier 2,1L+,Domestic,Agent,3-6 months,4,1,1
133,18-25,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,0,5
134,18-25,Female,Tier 2,<20k,Domestic,Mobile App,2-3 months,3,0,3
135,36-50,Male,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,1,0,5
136,18-25,Female,Tier 1,<20k,Domestic,Mobile App,3-6 months,2,0,3
137,18-25,Male,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,3,0,4
138,18-25,Prefer not to say,Tier 3,<20k,Commercial,Mobile App,2-3 months,3,0,2
139,36-50,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,0,5
140,18-25,Male,Tier 1,50k-1L,Domestic,Mobile App,3-6 months,3,0,3
141,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Agent,3-6 months,3,1,2
142,18-25,Female,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,3,0,2
143,50+,Male,Tier 2,<20k,Domestic,Website,Monthly,3,0,2
144,50+,Prefer not to say,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,2,0,4
145,50+,Male,Tier 2,20k-50k,Domestic,Agent,Monthly,2,1,3
146,36-50,Female,Tier 2,50k-1L,Domestic,Agent,3-6 months,5,1,1
147,36-50,Female,Tier 2,20k-50k,Domestic,Website,Monthly,3,0,4
148,36-50,Prefer not to say,Tier 2,<20k,Domestic,Agent,2-3 months,3,1,3
149,18-25,Female,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,2,0,5
150,50+,Male,Tier 2,<20k,Commercial,Mobile App,3-6 months,1,0,5
151,36-50,Female,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,1,0,5
152,36-50,Male,Tier 3,20k-50k,Domestic,Mobile App,Monthly,2,0,3
153,18-25,Male,Tier 2,1L+,Domestic,Mobile App,3-6 months,2,0,4
154,36-50,Female,Tier 2,<20k,Commercial,Agent,Monthly,6,1,1
155,18-25,Prefer not to say,Tier 2,50k-1L,Domestic,Call,2-3 months,2,1,3
156,26-35,Female,Tier 2,<20k,Commercial,Call,2-3 months,5,1,1
157,36-50,Male,Tier 3,20k-50k,Domestic,Website,2-3 months,6,1,1
158,26-35,Male,Tier 2,20k-50k,Domestic,Call,2-3 months,4,1,1
159,18-25,Female,Tier 3,1L+,Domestic,Call,2-3 months,4,1,3
160,50+,Prefer not to say,Tier 1,<20k,Domestic,Agent,Monthly,6,1,1
161,36-50,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,2-3 months,1,0,5
162,18-25,Male,Tier 2,20k-50k,Domestic,Mobile App,Monthly,2,0,3
163,50+,Male,Tier 1,<20k,Domestic,Website,2-3 months,4,1,3
164,50+,Prefer not to say,Tier 1,<20k,Commercial,Website,Monthly,5,1,1
165,26-35,Female,Tier 2,20k-50k,Domestic,Agent,Monthly,3,1,3
166,18-25,Male,Tier 1,<20k,Commercial,Mobile App,Monthly,1,0,5
167,50+,Male,Tier 1,<20k,Domestic,Agent,3-6 months,2,1,4
168,36-50,Prefer not to say,Tier 3,50k-1L,Domestic,Mobile App,Monthly,3,0,3
169,36-50,Female,Tier 1,20k-50k,Commercial,Mobile App,Monthly,3,0,2
170,26-35,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,3,0,2
171,50+,Female,Tier 2,20k-50k,Domestic,Mobile App,Monthly,3,0,2
172,18-25,Female,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,0,4
173,36-50,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,3,0,3
174,50+,Male,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,3,0,3
175,50+,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,3-6 months,2,0,5
176,26-35,Prefer not to say,Tier 2,20k-50k,Domestic,Agent,3-6 months,4,1,3
177,36-50,Female,Tier 2,20k-50k,Commercial,Call,3-6 months,3,1,2
178,36-50,Male,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,0,5
179,18-25,Male,Tier 2,50k-1L,Commercial,Mobile App,3-6 months,1,0,5
180,36-50,Prefer not to say,Tier 2,20k-50k,Domestic,Call,3-6 months,2,1,5
181,18-25,Male,Tier 2,20k-50k,Domestic,Call,2-3 months,4,1,3
182,36-50,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,3,0,4
183,26-35,Female,Tier 3,20k-50k,Domestic,Call,2-3 months,2,1,3
184,36-50,Male,Tier 1,<20k,Commercial,Website,2-3 months,6,1,1
185,18-25,Female,Tier 3,<20k,Domestic,Mobile App,3-6 months,2,0,3
186,18-25,Prefer not to say,Tier 1,50k-1L,Domestic,Mobile App,2-3 months,3,0,4
187,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,0,5
188,36-50,Prefer not to say,Tier 1,20k-50k,Domestic,Call,3-6 months,3,1,3
189,36-50,Prefer not to say,Tier 2,20k-50k,Commercial,Mobile App,2-3 months,3,0,3
190,26-35,Male,Tier 2,20k-50k,Commercial,Mobile App,3-6 months,1,0,4
191,36-50,Male,Tier 1,<20k,Domestic,Mobile App,2-3 months,3,0,3
192,36-50,Prefer not to say,Tier 1,50k-1L,Domestic,Website,3-6 months,3,0,2
193,18-25,Male,Tier 3,<20k,Domestic,Agent,2-3 months,4,1,1
194,36-50,Female,Tier 3,50k-1L,Domestic,Call,Monthly,6,1,1
195,36-50,Female,Tier 3,50k-1L,Commercial,Agent,2-3 months,4,1,1
196,26-35,Male,Tier 3,50k-1L,Domestic,Mobile App,3-6 months,2,0,5
197,26-35,Prefer not to say,Tier 2,20k-50k,Domestic,Agent,3-6 months,2,1,3
198,50+,Male,Tier 1,<20k,Domestic,Call,Monthly,6,1,1
199,18-25,Male,Tier 2,20k-50k,Commercial,Mobile App,3-6 months,2,0,4
200,36-50,Prefer not to say,Tier 2,20k-50k,Domestic,Agent,Monthly,4,1,2
201,36-50,Prefer not to say,Tier 1,20k-50k,Domestic,Agent,3-6 months,4,1,3
202,50+,Female,Tier 2,50k-1L,Domestic,Agent,3-6 months,6,1,1
203,36-50,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,Monthly,3,0,2
204,18-25,Female,Tier 2,20k-50k,Domestic,Website,3-6 months,5,1,2
205,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Website,3-6 months,2,0,5
206,18-25,Male,Tier 2,20k-50k,Domestic,Mobile App,Monthly,3,0,4
207,50+,Female,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,3,0,2
208,50+,Female,Tier 2,50k-1L,Domestic,Mobile App,Monthly,3,0,3
209,26-35,Female,Tier 1,50k-1L,Domestic,Website,3-6 months,6,1,1
210,18-25,Male,Tier 1,50k-1L,Domestic,Call,2-3 months,6,1,1
211,36-50,Male,Tier 3,50k-1L,Domestic,Mobile App,2-3 months,1,0,5
212,36-50,Male,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,3,0,3
213,18-25,Male,Tier 1,<20k,Domestic,Mobile App,Monthly,2,0,5
214,36-50,Male,Tier 3,50k-1L,Commercial,Call,2-3 months,5,1,1
215,36-50,Female,Tier 1,<20k,Domestic,Mobile App,2-3 months,2,0,4
216,18-25,Male,Tier 2,<20k,Domestic,Website,2-3 months,4,1,1
217,50+,Female,Tier 1,20k-50k,Domestic,Call,3-6 months,2,1,4
218,18-25,Male,Tier 2,20k-50k,Domestic,Agent,Monthly,5,1,2
219,50+,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,Monthly,3,0,4
220,36-50,Female,Tier 1,<20k,Domestic,Mobile App,3-6 months,2,0,4
221,36-50,Prefer not to say,Tier 3,<20k,Domestic,Mobile App,2-3 months,2,0,3
222,36-50,Female,Tier 2,1L+,Domestic,Mobile App,3-6 months,2,0,4
223,26-35,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,3-6 months,2,0,3
224,50+,Male,Tier 1,<20k,Domestic,Website,2-3 months,2,0,4
225,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,2-3 months,2,0,5
226,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,2,0,3
227,18-25,Female,Tier 2,1L+,Domestic,Mobile App,2-3 months,2,0,5
228,26-35,Prefer not to say,Tier 3,<20k,Domestic,Mobile App,3-6 months,3,0,2
229,18-25,Male,Tier 2,20k-50k,Commercial,Website,3-6 months,6,1,1
230,18-25,Prefer not to say,Tier 1,50k-1L,Domestic,Mobile App,2-3 months,2,0,5
231,26-35,Prefer not to say,Tier 1,1L+,Domestic,Mobile App,Monthly,3,0,4
232,50+,Male,Tier 1,20k-50k,Domestic,Call,3-6 months,2,1,3
233,50+,Male,Tier 2,50k-1L,Commercial,Mobile App,2-3 months,1,0,4
234,50+,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,Monthly,1,0,4
235,50+,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,2,0,5
236,50+,Male,Tier 2,20k-50k,Commercial,Mobile App,3-6 months,2,0,4
237,26-35,Male,Tier 3,50k-1L,Commercial,Mobile App,3-6 months,1,0,4
238,26-35,Female,Tier 2,<20k,Domestic,Mobile App,Monthly,1,0,5
239,36-50,Prefer not to say,Tier 3,<20k,Domestic,Agent,Monthly,3,1,2
240,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Mobile App,Monthly,1,0,5
241,26-35,Female,Tier 2,<20k,Domestic,Agent,2-3 months,2,1,3
242,36-50,Prefer not to say,Tier 2,<20k,Domestic,Agent,3-6 months,2,1,4
243,50+,Male,Tier 2,1L+,Domestic,Call,Monthly,2,1,5
244,18-25,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,0,4
245,36-50,Male,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,3,0,2
246,26-35,Female,Tier 1,50k-1L,Domestic,Agent,3-6 months,3,1,4
247,18-25,Male,Tier 2,20k-50k,Domestic,Call,Monthly,3,1,2
248,18-25,Prefer not to say,Tier 1,<20k,Domestic,Call,2-3 months,4,1,1
249,18-25,Prefer not to say,Tier 3,<20k,Domestic,Mobile App,Monthly,2,0,5
250,36-50,Prefer not to say,Tier 2,20k-50k,Commercial,Website,3-6 months,2,0,5
251,26-35,Female,Tier 2,20k-50k,Domestic,Mobile App,Monthly,1,0,5
252,18-25,Female,Tier 1,20k-50k,Domestic,Mobile App,Monthly,3,0,4
253,50+,Prefer not to say,Tier 3,<20k,Commercial,Mobile App,3-6 months,3,0,4
254,18-25,Male,Tier 3,20k-50k,Domestic,Mobile App,3-6 months,3,0,2
255,18-25,Female,Tier 2,1L+,Domestic,Mobile App,Monthly,1,0,5
256,36-50,Prefer not to say,Tier 1,50k-1L,Commercial,Agent,Monthly,3,1,2
257,36-50,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,Monthly,3,1,4
258,26-35,Female,Tier 1,50k-1L,Domestic,Agent,Monthly,3,1,4
259,50+,Female,Tier 1,20k-50k,Domestic,Mobile App,2-3 months,1,0,5
260,36-50,Female,Tier 2,50k-1L,Domestic,Call,Monthly,2,1,5
261,18-25,Male,Tier 2,<20k,Domestic,Mobile App,2-3 months,3,0,4
262,26-35,Male,Tier 2,50k-1L,Commercial,Mobile App,3-6 months,2,0,3
263,18-25,Prefer not to say,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,2,0,3
264,18-25,Female,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,0,5
265,36-50,Male,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,1,0,5
266,26-35,Female,Tier 2,1L+,Domestic,Mobile App,3-6 months,1,0,4
267,50+,Prefer not to say,Tier 3,20k-50k,Domestic,Call,Monthly,5,1,2
268,50+,Male,Tier 1,50k-1L,Domestic,Website,2-3 months,3,0,3
269,36-50,Male,Tier 3,<20k,Domestic,Mobile App,2-3 months,2,0,3
270,36-50,Male,Tier 3,20k-50k,Domestic,Website,3-6 months,6,1,1
271,26-35,Prefer not to say,Tier 1,20k-50k,Domestic,Agent,3-6 months,3,1,3
272,50+,Female,Tier 2,20k-50k,Domestic,Call,2-3 months,3,1,4
273,50+,Male,Tier 3,1L+,Domestic,Call,3-6 months,3,1,2
274,50+,Prefer not to say,Tier 2,50k-1L,Domestic,Mobile App,Monthly,1,0,4
275,18-25,Female,Tier 3,50k-1L,Domestic,Agent,2-3 months,4,1,2
276,50+,Prefer not to say,Tier 3,20k-50k,Domestic,Call,Monthly,3,1,3
277,18-25,Female,Tier 2,1L+,Domestic,Website,2-3 months,3,0,3
278,26-35,Prefer not to say,Tier 2,<20k,Domestic,Call,Monthly,2,1,5
279,18-25,Female,Tier 3,50k-1L,Commercial,Agent,2-3 months,2,1,5
280,26-35,Male,Tier 2,20k-50k,Domestic,Agent,3-6 months,6,1,1
281,50+,Female,Tier 1,<20k,Domestic,Mobile App,2-3 months,1,0,5
282,50+,Prefer not to say,Tier 1,50k-1L,Domestic,Mobile App,Monthly,2,0,3
283,26-35,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,0,5
284,36-50,Female,Tier 3,<20k,Domestic,Mobile App,Monthly,3,0,3
285,26-35,Male,Tier 3,20k-50k,Domestic,Mobile App,Monthly,3,0,4
286,36-50,Male,Tier 2,<20k,Domestic,Agent,Monthly,6,1,1
287,18-25,Female,Tier 1,<20k,Commercial,Call,3-6 months,4,1,1
288,18-25,Female,Tier 1,<20k,Commercial,Website,2-3 months,2,0,4
289,18-25,Prefer not to say,Tier 3,20k-50k,Domestic,Agent,Monthly,3,1,2
290,50+,Male,Tier 1,<20k,Domestic,Call,3-6 months,6,1,1
291,18-25,Female,Tier 1,50k-1L,Domestic,Website,Monthly,4,1,2
292,36-50,Male,Tier 1,<20k,Domestic,Call,2-3 months,6,1,1
293,18-25,Female,Tier 2,1L+,Domestic,Agent,3-6 months,2,1,4
294,26-35,Female,Tier 3,50k-1L,Domestic,Mobile App,Monthly,1,0,4
295,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,3,0,2
296,50+,Female,Tier 2,50k-1L,Domestic,Mobile App,Monthly,2,0,3
297,26-35,Female,Tier 2,50k-1L,Domestic,Call,2-3 months,3,1,2
298,36-50,Prefer not to say,Tier 3,1L+,Domestic,Call,3-6 months,5,1,1
299,18-25,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,3,0,3
300,50+,Female,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,0,4
301,18-25,Female,Tier 2,20k-50k,Domestic,Website,Monthly,5,1,2
302,18-25,Prefer not to say,Tier 3,20k-50k,Domestic,Call,3-6 months,2,1,5
303,36-50,Male,Tier 2,20k-50k,Commercial,Mobile App,Monthly,2,0,5
304,26-35,Prefer not to say,Tier 1,20k-50k,Domestic,Call,2-3 months,4,1,1
305,26-35,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,3-6 months,3,1,3
306,18-25,Male,Tier 2,1L+,Domestic,Website,Monthly,2,0,4
307,50+,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,3-6 months,1,0,5
308,26-35,Male,Tier 3,<20k,Domestic,Mobile App,3-6 months,3,0,4
309,50+,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,2-3 months,3,0,3
310,26-35,Male,Tier 2,50k-1L,Domestic,Mobile App,3-6 months,1,0,5
311,50+,Female,Tier 2,50k-1L,Domestic,Agent,2-3 months,4,1,3
312,36-50,Prefer not to say,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,1,0,5
313,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Website,3-6 months,3,0,4
314,36-50,Prefer not to say,Tier 3,20k-50k,Domestic,Mobile App,3-6 months,1,0,5
315,36-50,Prefer not to say,Tier 2,20k-50k,Domestic,Website,3-6 months,5,1,1
316,50+,Female,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,3,0,4
317,36-50,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,3-6 months,2,1,3
318,18-25,Female,Tier 2,1L+,Domestic,Website,2-3 months,3,0,3
319,36-50,Female,Tier 1,1L+,Domestic,Website,2-3 months,4,1,1
320,26-35,Female,Tier 2,1L+,Domestic,Mobile App,Monthly,3,0,3
321,50+,Female,Tier 3,20k-50k,Commercial,Mobile App,3-6 months,3,0,2
